38021;71;"Мотор-редуктор МПО1М-10-7,34-5,5/195-ВК-У3";;117960;1;;;21;"Мотор-редуктор МПО1М-10-7,34-5,5/195-ВК-У3";"Мотор-редуктор МПО1М-10-7,34-5,5/195-ВК-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/195-ВК-У3";;;1;7,34-5,5/195;124;0;шт.;ВК;0;Мотор-редукторы/Агрегаты;1740724309;05926e8fc155fab038c7a521bd2c85d2
38020;71;"Мотор-редуктор МПО1М-10-7,34-3/195-ВК-У3";;117700;1;;;20;"Мотор-редуктор МПО1М-10-7,34-3/195-ВК-У3";"Мотор-редуктор МПО1М-10-7,34-3/195-ВК-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-3/195-ВК-У3";;;1;7,34-3/195;124;0;шт.;ВК;0;Мотор-редукторы/Агрегаты;1740724309;05926e8fc155fab038c7a521bd2c85d2
38019;71;"Мотор-редуктор МПО1М-10-5,74-7,5/170-ВК-У3";;117440;1;;;19;"Мотор-редуктор МПО1М-10-5,74-7,5/170-ВК-У3";"Мотор-редуктор МПО1М-10-5,74-7,5/170-ВК-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/170-ВК-У3";;;1;5,74-7,5/170;124;0;шт.;ВК;0;Мотор-редукторы/Агрегаты;1740724309;05926e8fc155fab038c7a521bd2c85d2
38018;71;"Мотор-редуктор МПО1М-10-5,74-5,5/170-ВК-У3";;117180;1;;;18;"Мотор-редуктор МПО1М-10-5,74-5,5/170-ВК-У3";"Мотор-редуктор МПО1М-10-5,74-5,5/170-ВК-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/170-ВК-У3";;;1;5,74-5,5/170;124;0;шт.;ВК;0;Мотор-редукторы/Агрегаты;1740724309;05926e8fc155fab038c7a521bd2c85d2
38017;71;"Мотор-редуктор МПО1М-10-5,74-3/170-ВК-У3";;116920;1;;;17;"Мотор-редуктор МПО1М-10-5,74-3/170-ВК-У3";"Мотор-редуктор МПО1М-10-5,74-3/170-ВК-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/170-ВК-У3";;;1;5,74-3/170;124;0;шт.;ВК;0;Мотор-редукторы/Агрегаты;1740724309;05926e8fc155fab038c7a521bd2c85d2
38016;71;"Мотор-редуктор МПО1М-10-7,34-7,5/130-ВК-У3";;116660;1;;;16;"Мотор-редуктор МПО1М-10-7,34-7,5/130-ВК-У3";"Мотор-редуктор МПО1М-10-7,34-7,5/130-ВК-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/130-ВК-У3";;;1;7,34-7,5/130;124;0;шт.;ВК;0;Мотор-редукторы/Агрегаты;1740724309;05926e8fc155fab038c7a521bd2c85d2
38015;71;"Мотор-редуктор МПО1М-10-7,34-5,5/130-ВК-У3";;116400;1;;;15;"Мотор-редуктор МПО1М-10-7,34-5,5/130-ВК-У3";"Мотор-редуктор МПО1М-10-7,34-5,5/130-ВК-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/130-ВК-У3";;;1;7,34-5,5/130;124;0;шт.;ВК;0;Мотор-редукторы/Агрегаты;1740724309;05926e8fc155fab038c7a521bd2c85d2
38014;71;"Мотор-редуктор МПО1М-10-7,34-3/130-ВК-У3";;116140;1;;;14;"Мотор-редуктор МПО1М-10-7,34-3/130-ВК-У3";"Мотор-редуктор МПО1М-10-7,34-3/130-ВК-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-3/130-ВК-У3";;;1;7,34-3/130;124;0;шт.;ВК;0;Мотор-редукторы/Агрегаты;1740724310;05926e8fc155fab038c7a521bd2c85d2
38013;71;"Мотор-редуктор МПО1М-10-5,74-7,5/250-В-У3";;115880;1;;;13;"Мотор-редуктор МПО1М-10-5,74-7,5/250-В-У3";"Мотор-редуктор МПО1М-10-5,74-7,5/250-В-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/250-В-У3";;;1;5,74-7,5/250;124;0;шт.;В;0;Мотор-редукторы/Агрегаты;1740724310;05926e8fc155fab038c7a521bd2c85d2
38012;71;"Мотор-редуктор МПО1М-10-5,74-5,5/250-В-У3";;115620;1;;;12;"Мотор-редуктор МПО1М-10-5,74-5,5/250-В-У3";"Мотор-редуктор МПО1М-10-5,74-5,5/250-В-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/250-В-У3";;;1;5,74-5,5/250;124;0;шт.;В;0;Мотор-редукторы/Агрегаты;1740724310;05926e8fc155fab038c7a521bd2c85d2
38011;71;"Мотор-редуктор МПО1М-10-5,74-3/250-В-У3";;115360;1;;;11;"Мотор-редуктор МПО1М-10-5,74-3/250-В-У3";"Мотор-редуктор МПО1М-10-5,74-3/250-В-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/250-В-У3";;;1;5,74-3/250;124;0;шт.;В;0;Мотор-редукторы/Агрегаты;1740724310;05926e8fc155fab038c7a521bd2c85d2
38010;71;"Мотор-редуктор МПО1М-10-7,34-11/195-В-У3";;115100;1;;;10;"Мотор-редуктор МПО1М-10-7,34-11/195-В-У3";"Мотор-редуктор МПО1М-10-7,34-11/195-В-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-11/195-В-У3";;;1;7,34-11/195;124;0;шт.;В;0;Мотор-редукторы/Агрегаты;1740724310;05926e8fc155fab038c7a521bd2c85d2
38009;71;"Мотор-редуктор МПО1М-10-7,34-7,5/195-В-У3";;114840;1;;;9;"Мотор-редуктор МПО1М-10-7,34-7,5/195-В-У3";"Мотор-редуктор МПО1М-10-7,34-7,5/195-В-У3";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/195-В-У3";;;1;7,34-7,5/195;124;0;шт.;В;0;Мотор-редукторы/Агрегаты;1740724310;05926e8fc155fab038c7a521bd2c85d2
