13;"Вх. Конус + Вых. Полый шпонка";;19687,5;1;UG-004-8;;8;;;;;;0;124;0;шт.;;0;Скрытые/Услуги/1Ц2У-200;1739190309;35335060b1fdf63d71525ad99213480b
13;"Вх. Цилиндр + Вых. Полый шпонка";;19687,5;1;UG-004-7;;7;;;;;;0;124;0;шт.;;0;Скрытые/Услуги/1Ц2У-200;1739190309;35335060b1fdf63d71525ad99213480b
13;"Вх. Конус + Вых. Полый шлицы";;26250;1;UG-004-6;;6;;;;;;0;124;0;шт.;;0;Скрытые/Услуги/1Ц2У-200;1739190309;35335060b1fdf63d71525ad99213480b
13;"Вх. Цилиндр + Вых. Полый шлицы";;26250;1;UG-004-5;;5;;;;;;0;124;0;шт.;;0;Скрытые/Услуги/1Ц2У-200;1739190309;35335060b1fdf63d71525ad99213480b
13;"Вх. Цилиндр + Вых. Конус";;13125;1;UG-004-4;;4;;;;;;0;124;0;шт.;;0;Скрытые/Услуги/1Ц2У-200;1739190309;35335060b1fdf63d71525ad99213480b
13;"Вх. Конус + Вых. Цилиндр";;13125;1;UG-004-3;;3;;;;;;0;124;0;шт.;;0;Скрытые/Услуги/1Ц2У-200;1739190309;35335060b1fdf63d71525ad99213480b
13;"Вх. Цилиндр + Вых. Цилиндр";;19687,5;1;UG-004-2;;2;;;;;;0;124;0;шт.;;0;Скрытые/Услуги/1Ц2У-200;1739190309;35335060b1fdf63d71525ad99213480b
13;"Вх. Конус + Вых. Конус";;6562,5;1;UG-004-1;;1;;;;;;0;124;0;шт.;;0;Скрытые/Услуги/1Ц2У-200;1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 31.5 31";;144365;1;;;61;"Редуктор 1Ц2У-200-УХЛ 31.5 31";"Редуктор 1Ц2У-200-УХЛ 31.5 31";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 31.5 31";;;1;31.5;124;0;шт.;31;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 31.5 23";;144150;1;;;60;"Редуктор 1Ц2У-200-УХЛ 31.5 23";"Редуктор 1Ц2У-200-УХЛ 31.5 23";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 31.5 23";;;1;31.5;124;0;шт.;23;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 31.5 22";;143935;1;;;59;"Редуктор 1Ц2У-200-УХЛ 31.5 22";"Редуктор 1Ц2У-200-УХЛ 31.5 22";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 31.5 22";;;1;31.5;124;0;шт.;22;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 31.5 21";;143720;1;;;58;"Редуктор 1Ц2У-200-УХЛ 31.5 21";"Редуктор 1Ц2У-200-УХЛ 31.5 21";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 31.5 21";;;1;31.5;124;0;шт.;21;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 31.5 13";;143505;1;;;57;"Редуктор 1Ц2У-200-УХЛ 31.5 13";"Редуктор 1Ц2У-200-УХЛ 31.5 13";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 31.5 13";;;1;31.5;124;0;шт.;13;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 31.5 12";;143290;1;;;56;"Редуктор 1Ц2У-200-УХЛ 31.5 12";"Редуктор 1Ц2У-200-УХЛ 31.5 12";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 31.5 12";;;1;31.5;124;0;шт.;12;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 31.5 11";;143075;1;;;55;"Редуктор 1Ц2У-200-УХЛ 31.5 11";"Редуктор 1Ц2У-200-УХЛ 31.5 11";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 31.5 11";;;1;31.5;124;0;шт.;11;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 25 33";;142860;1;;;54;"Редуктор 1Ц2У-200-УХЛ 25 33";"Редуктор 1Ц2У-200-УХЛ 25 33";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 25 33";;;1;25;124;0;шт.;33;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 25 32";;142645;1;;;53;"Редуктор 1Ц2У-200-УХЛ 25 32";"Редуктор 1Ц2У-200-УХЛ 25 32";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 25 32";;;1;25;124;0;шт.;32;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
5;"Редуктор 1Ц2У-200-УХЛ 25 31";;142430;1;;;52;"Редуктор 1Ц2У-200-УХЛ 25 31";"Редуктор 1Ц2У-200-УХЛ 25 31";"1ц2у,редуктор,200,редуктор 1ц2у-200 1Ц2У-200-УХЛ 25 31";;;1;25;124;0;шт.;31;0;"УХЛ/Двухступенчатые УХЛ";1739190309;35335060b1fdf63d71525ad99213480b
